extras_productidnew_bi_strs,issnnum_en_bi_strs,issnnum_fr_bi_strs
87F0009X,1916-9817,1916-9817
87M0006X,1481-1049,1481-1049
13-216-X,0825-124X,0825-124X
13-217-X,0829-6235,0829-6235
89-574-X,0-662-30972-3,0-662-30972-3
12-002-X,1710-2197,1710-2197
12-002-X,1710-2197,1710-2197
12-205-X,0843-6142,0843-6142
12-206-X,1705-0820,1705-0820
13-220-X,1207-3016,1207-3016
13-531-X,0-660-53422-3,0-660-53422-3
15F0042X,1715-1465,1715-1465
15F0046X,1715-1473,1715-1473
16-001-M,1917-9693,1917-9693
16-002-X,1913-4320,1913-4320
85-402-X,1209-7209,1209-7209
63-243-X,1916-7016,1916-7016
61-517-X,0575-8823,0575-8823
61F0019X,1201-6292,1201-6292
61F0020X,1492-2576,1492-2576
63-243-X,1916-7016,1916-7016
62-556-X,0-660-52876-2,0-660-52876-2
62-603-X,0-660-11481-X,0-660-11481-X
62F0014M,1206-2677,1206-2677
13-582-X,1209-1820,1209-1820
85-551-X,0-660-18372-2,0-660-18372-2
63-245-X,1916-792X,1916-792X
63-247-X,1916-7946,1916-7946
63-248-X,1916-7903,1916-7903
63-250-X,1916-9019,1916-9019
89-613-M,1710-2944,1710-2944
89-634-X,1918-4964,1918-4964
85-554-X,0-662-30838-7,0-662-30838-7
89-579-X,0-662-33231-8,0-662-33231-8
87-004-X,0843-7548,0843-7548
87-009-X,1916-5285,1916-5285
87-009-X,1916-5285,1916-5285
87-203-X,0847-1231,0847-1231
88-001-X,0706-0793,0706-0793
88-003-X,1492-1596,1492-1596
88-204-X,0824-0310,0824-0310
88-502-X,0-660-11446-1,0-660-11446-1
13-551-X,1701-2112,1701-2112
63-254-X,1916-8993,1916-8993
63-259-X,1916-9957,1916-9957
85F0016X,1201-6845,1201-6845
85F0018X,1491-9575,1491-9575
85F0019X,1209-3459,1209-3459
11-526-X,0-660-58923-0,0-660-58923-0
11-529-X,0-660-15399-8,0-660-15399-8
11-534-X,0-662-26874-1,0-662-26874-1
12-539-X,1708-6256,1708-6256
12-539-X,1708-6256,1708-6256
12-574-X,0-660-13746-1,0-660-13746-1
12-578-X,0-660-12492-0,0-660-12492-0
13-551-X,1201-494X,1201-494X
62F0083X,1705-4001,1705-4001
63-239-X,1916-6036,1916-6036
62F0026M,1708-8879,1708-8879
56-506-X,0-662-31423-9,0-662-31423-9
61-206-X,0823-0668,0823-0668
61F0040X,1183-8752,1183-8752
61F0041M,1205-917X,1205-917X
61F0056X,1203-5777,1203-5777
62F0033X,1708-993X,1708-993X
62F0034X,1708-9948,1708-9948
62F0040X,1488-0261,1488-0261
62F0043X,1708-9964,1708-9964
16-201-S,1923-5224,1923-5224
16-201-X,1923-6743,1923-6743
63-252-X,1916-8934,1916-8934
89-621-X,1719-7376,1719-7376
89-636-X,1918-6355,1918-6355
89-638-X,1920-0072,1920-0072
89-638-X,1920-0072,1920-0072
85-558-X,0-662-33200-8,0-662-33200-8
85-559-X,0-662-33260-1,0-662-33260-1
87-213-X,1712-249X,1712-249X
87-525-X,0-660-52871-1,0-660-52871-1
87-542-X,1927-2960,1927-2960
87-542-X,1927-2960,1927-2960
88-509-X,0-660-52889-4,0-660-52889-4
12-580-S,0-660-13042-4,0-660-13042-4
89-533-X,0-660-54891-7,0-660-54891-7
89-536-X,0-660-16476-0,0-660-16476-0
89-545-X,92-64-14655-5,92-64-14655-5
11-623-X,1705-981X,1705-981X
11-624-M,1708-0169,1708-0169
11-626-X,1927-503X,1927-503X
11F0019M,1205-9153,1205-9153
12-580-X,0-660-16814-6,0-660-16814-6
12-585-X,1702-9449,1702-9449
62-001-X,0703-9352,0703-9352
62-011-X,1705-2270,1705-2270
13-581-X,0-660-11507-7,0-660-11507-7
13-585-X,0-660-12077-1,0-660-12077-1
13-589-X,0-660-13257-5,0-660-13257-5
61-210-X,0823-4248,0823-4248
61-219-P,1195-857X,1195-857X
61-220-X,1492-2800,1492-2800
62-003-X,0835-0906,0835-0906
62-011-X,1705-2270,1705-2270
62-012-X,1192-8077,1192-8077
62F0072G,1708-6205,1708-6205
63-233-X,0838-2174,0838-2174
85-561-M,1707-5203,1707-5203
89-622-X,1911-1797,1911-1797
89-627-X,1914-6450,1914-6450
89-642-X,1923-3086,1923-3086
85-563-X,0-660-19309-4,0-660-19309-4
85-563-X,0-660-19310-8,0-660-19310-8
89-551-X,0-660-16514-7,0-660-16514-7
87F0004X,1911-317X,1911-317X
11F0019M,1205-9153,1205-9153
13-210-X,0319-0374,0319-0374
13-214-X,1705-8899,1705-8899
13-214-X,1705-8902,1705-8902
13-594-G,0-660-16521-X,0-660-16521-X
11F0024M,1713-7640,1713-7640
11F0024X,0-660-60568-6,0-660-60568-6
11F0026M,1709-7177,1709-7177
11F0027M,1703-0404,1703-0404
13-214-X,1705-8902,1705-8902
13-215-X,1188-1879,1188-1879
62-014-X,0-662-35016-2,0-662-35016-2
62-202-X,1488-447X,1488-447X
13-604-M,1707-1739,1707-1739
13-604-M,1707-1739,1707-1739
13F0016X,1491-0659,1491-0659
13F0019X,1701-5758,1701-5758
61-222-X,1195-9991,1195-9991
61-223-X,1201-057X,1201-057X
61-232-X,1708-6906,1708-6906
62-553-X,0-660-58926-5,0-660-58926-5
63-234-X,1183-4447,1183-4447
63-240-X,1916-6052,1916-6052
63-241-X,1916-6907,1916-6907
63-242-X,1916-6826,1916-6826
89-628-X,1915-0466,1915-0466
