productidnew_bi_strs,formatcode_bi_txtm,issnnum_en_strs,issnnum_fr_strs
10F0005G,12,1-55089-020-4,1-55089-020-4
10F0005X,3,0-660-60602-X,0-660-60602-X
10F0007G,12,1185-4308,1185-4308
10F0007X,3,0-660-60602-X,0-660-60602-X
10F0016U,3,1484-7914,1484-7914
10F0016X,3,1484-7914,1484-7914
10F0024U,3,1203-2948,1203-2948
10F0024X,3,1203-2948,1203-2948
10F0174G,12,0-660-17544-4,0-660-17544-4
10F0174U,3,1480-7386,1480-7386
10F0174X,8,1480-8145,1480-8145
10F0174X,3,1480-7386,1480-7386
11-002-X,8,1209-0867,1209-0867
11-002-X,12,0380-0547,0380-0547
11-002-X,17,1209-0867,1209-0867
11-008-X,8,1481-1634,1481-1634
11-008-X,12,0831-5698,0831-5698
11-008-X,17,1481-1634,1481-1634
11-010-X,8,1705-0189,1705-0189
11-010-X,12,0835-9148,0835-9148
11-010-X,17,1705-0189,1705-0189
11-015-X,8,1708-0924,1708-0924
11-016-X,8,1929-946X,1929-946X
11-016-X,17,1929-946X,1929-946X
11-017-X,8,1929-9486,1929-9486
11-017-X,17,1929-9486,1929-9486
11-201-X,12,0703-2544,0703-2544
11-204-S,12,0838-4231,0838-4231
11-204-X,12,0838-4223,0838-4223
11-207-S,12,0835-085X,0835-085X
11-207-X,12,0228-5134,0228-5134
11-208-U,12,0-660-13813-1,0-660-13813-1
11-208-X,12,0-660-13813-1,0-660-13813-1
11-209-X,12,1180-548X,1180-548X
11-210-X,8,1499-1950,1499-1950
11-210-X,12,0838-0236,0838-0236
11-210-X,17,1499-1950,1499-1950
11-402-X,3,1203-2107,1203-2107
11-402-X,12,0068-8142,0068-8142
11-402-X,17,1718-5327,1718-5327
11-402-X,8,1718-5327,1718-5327
11-403-X,12,0840-6014,0840-6014
11-511-X,12,0-660-10508-X,0-660-10508-X
11-514-X,12,0-660-11239-6,0-660-11239-6
11-516-X,12,0-660-11259-0,0-660-11259-0
11-522-X,3,1481-9678,1481-9678
11-522-X,8,1709-8211,1709-8211
11-523-X,12,0-660-12722-9,0-660-12722-9
11-526-S,17,1920-7522,1920-7522
11-526-S,8,1920-7522,1920-7522
11-526-X,12,0-660-58923-0,0-660-58923-0
11-526-X,17,1913-5270,1913-5270
11-526-X,8,1913-5270,1913-5270
11-527-X,12,0-660-14650-9,0-660-14650-9
11-528-X,12,1205-8386,1205-8386
11-529-X,12,0-660-15399-8,0-660-15399-8
11-534-R,12,0-662-27860-7,0-662-27860-7
11-534-X,12,0-662-26874-1,0-662-26874-1
11-612-M,12,0836-043X,0836-043X
11-621-M,17,1707-0503,1707-0503
11-621-M,8,1707-0503,1707-0503
11-622-M,8,1705-6896,1705-6896
11-623-X,8,1705-981X,1705-981X
11-624-M,17,1708-0169,1708-0169
11-624-M,8,1708-0169,1708-0169
11-626-X,17,1927-503X,1927-503X
11-626-X,8,1927-503X,1927-503X
11F0019M,8,1205-9153,1205-9153
11F0019M,17,1205-9153,1205-9153
11F0019M,12,1200-5223,1200-5223
11F0024M,8,1713-7640,1713-7640
11F0024X,3,0-660-60568-6,0-660-60568-6
11F0026M,17,1709-7177,1709-7177
11F0026M,8,1709-7177,1709-7177
11F0027M,17,1703-0404,1703-0404
11F0027M,8,1703-0404,1703-0404
11M0001X,3,0-660-60576-7,0-660-60576-7
12-001-X,8,1492-0921,1492-0921
12-001-X,12,0714-0045,0714-0045
12-001-X,17,1492-0921,1492-0921
12-002-X,8,1710-2197,1710-2197
12-002-X,17,1710-2197,1710-2197
12-003-X,17,1914-2005,1914-2005
12-205-X,10,0843-6142,0843-6142
12-205-X,12,0843-6142,0843-6142
12-205-X,3,1201-5784,1201-5784
12-206-X,8,1705-0820,1705-0820
12-539-X,8,1708-6256,1708-6256
12-539-X,17,1708-6256,1708-6256
12-570-X,12,0-660-11945-5,0-660-11945-5
12-573-X,12,0-660-56559-5,0-660-56559-5
12-574-X,12,0-660-13746-1,0-660-13746-1
12-575-X,12,0-660-58942-7,0-660-58942-7
12-578-X,12,0-660-12492-0,0-660-12492-0
12-579-X,12,0-660-12493-9,0-660-12493-9
12-580-S,12,0-660-13042-4,0-660-13042-4
12-580-X,12,0-660-16814-6,0-660-16814-6
12-580-X,14,0-660-92485-4,0-660-92485-4
12-581-X,8,1701-5766,1701-5766
12-581-X,17,1701-5766,1701-5766
12-581-X,12,1484-1177,1484-1177
