extras_10uid_bi_strs,extras_title_en_txts,extras_pkuniqueidcode_bi_strs,extras_statusf_en_strs,Load to OLC,extras_productidnew_bi_strs,
primary124231,Estimation of coverage error in the 1996 Census of Population,article11-522-x19960013308_12,,Do not load to OLC,11-522-X19960013308,
primary124226,Nonsampling error in surveys: The journey toward relevance in practice,article11-522-x19960013303_12,,Do not load to OLC,11-522-X19960013303,
primary124266,A without replacement resampling procedure for survey data,article11-522-x19970014159_12,,Do not load to OLC,11-522-X19970014159,
primary124227,Quality declarations at Statistics Sweden: Principle and practice,article11-522-x19960013304_12,,Do not load to OLC,11-522-X19960013304,
primary124178,The new Consumer Price Index in France,article11-522-x19940012615_12,Do not load to OLC,Do not load to OLC,11-522-X19940012615,
primary133364,Trends and Highlights of Canadian Agriculture and Its People: 1991 Census of Agriculture (Analytical Products: 1991 Census of Agriculture),publication96-303-s_12,Discontinued/Not available,Do not load to OLC,96-303-S,
primary126564,"Crime Survey, 7 Cities (1982) - Microdata User's Guide",publication85m0001g_12,Do not load to OLC,Do not load to OLC,85M0001G,
primary129089,User's Guide to 1991 Aboriginal Data,publication89f0028g_12,Discontinued/Not available,Do not load to OLC,89F0028G,
primary129109,Profile of Visible Minorities: Documentation Package,publication89f0074g_12,Do not load to OLC,Do not load to OLC,89F0074G,
primary131492,University Student Information System (USIS) - Degrees Input Manual,publication81n0003x_12,Do not load to OLC,Do not load to OLC,81N0003X,
primary124290,A review of document imaging for the 1996 Canadian Census of Agriculture,article11-522-x19970014197_12,Do not load to OLC,Do not load to OLC,11-522-X19970014197,
primary128131,Canadian Travel Survey Microdata User's Guide,publication87m0006g_12,Ongoing/Available,Do not load to OLC,87M0006G,
primary124075,Guide to Managing Statistics Canada Publications in Libraries,issue11-208-x1990000_12,Do not load to OLC,Do not load to OLC,11-208-X1990000,
primary126620,National Population Health Survey: Health Institutions Public Use Microdata File - Documentation,publication82m0010g_12,Discontinued/Not available,Do not load to OLC,82M0010G,
primary124074,Guide to Managing Statistics Canada Publications in Libraries,publication11-208-x_12,Discontinued/Not available,Do not load to OLC,11-208-X,
primary125638,General Social Survey Cycle 20: Family Transitions (2006): Public Use Microdata File Documentation and User's Guide,publication12m0020g_12,Discontinued/Not available,Do not load to OLC,12M0020G,
primary125631,"General Social Survey, Cycle 17: Social Engagement (2003) : User's Guide to the Public Use Microdata File",publication12m0017g_12,Discontinued/Not available,Do not load to OLC,12M0017G,
primary128815,Shared Diversity: An Interprovincial Report on Child Care in Canada (Canadian National Child Care Study),publication89-536-x_12,Discontinued/Not available,Do not load to OLC,89-536-X,
primary129105,Profile of Persons with Disabilities (Limited at Work/Perception): Documentation Package,publication89f0038g_12,Discontinued/Not available,Do not load to OLC,89F0038G,
